threshold,doy_min,doy_mean,doy_max,doy_sd_min,doy_sd_mean,doy_sd_max,slope_min,slope_mean,slope_max
50,5,92.35469663686494,170,6.702506065368652,12.319890395209109,21.63850212097168,-0.7009966969490051,-0.0831884124511635,0.2946239709854126
350,74,139.87046548994917,251,4.330862045288086,7.581291111235697,13.160648345947266,-0.5782241225242615,-0.057539632053210776,0.2731803059577942
650,99,161.60873364127488,314,3.8806958198547363,6.704261047493402,20.982152938842773,-1.336154580116272,-0.08582262688636429,0.22787676751613617
1250,134,193.2242653591745,365,4.059223651885986,7.220711914390034,24.565340042114258,-2.341700315475464,-0.12372312730052505,7.142857074737549
1950,162,226.89511171239644,366,0,10.064221980731023,50.20458221435547,-23.700000762939453,-0.12931171095345825,35.5
2500,181,246.04824814445809,366,0,11.9511272751076,63.639610290527344,-77,-0.12031950084991087,90
