name,type,data,command,depend,seed,path,time,size,bytes,format,repository,iteration,parent,children,seconds,warnings,error
doy_plot_1900,stem,7ee47392f74ddaec,8ec58eedae196059,499b974df67ff545,1124340499,,2024-07-31T18:34:41Z,4b8bb41d3cb59157,1941687,file,local,vector,NA,,44.588,NA,NA
doy_plot_1950,stem,9c650a9b4c107d70,33ad8e1436e0f26e,6c4261a182d24589,775212304,,2024-07-31T19:19:05Z,2ca9ce1ecc81269f,1971642,file,local,vector,NA,,44.24,NA,NA
doy_plot_200,stem,81d383deab34724d,ff45bfbdead6a135,c940c5a51f499732,426721261,,2024-08-01T21:52:18Z,22f0140167bc014b,1826239,file,local,vector,NA,,60.456,NA,NA
doy_plot_2000,stem,829778293b710e9a,9f5a134351cd47eb,821371fc5ebdf0eb,-1575843251,,2024-08-01T21:35:11Z,b31ac056333bc766,1967961,file,local,vector,NA,,58.483,NA,NA
doy_plot_2050,stem,3ca39f5f712439e6,ee726e1b09766a38,191ceadb3c2f04e4,-1943035098,,2024-08-01T20:41:09Z,fcab730061e9cb81,2022990,file,local,vector,NA,,52.339,NA,NA
doy_plot_2100,stem,7e9872c53d2bc65f,456a39013e7d75f0,2bfa626330a7f27c,-1418944668,,2024-07-31T19:35:44Z,b50be2695affd469,2006906,file,local,vector,NA,,44.953,NA,NA
doy_plot_2150,stem,e161705d646359cd,258138f35cd9ea0e,b506fd33a55306ea,-1500377232,,2024-08-01T22:05:15Z,e68c36da9cfbe91e,2041099,file,local,vector,NA,,51.342,NA,NA
doy_plot_2200,stem,02ed600049f17e95,156fe451a7acb470,677c352ff5f20f24,825711259,,2024-08-01T21:33:59Z,654a96e2b376fa89,2068153,file,local,vector,NA,,48.588,NA,NA
doy_plot_2250,stem,f1131d5bc42f2910,28eb18b60ae65dc0,b1064353e5cda4b0,1241069587,,2024-08-01T21:19:45Z,1a5f37d41a05d132,2103627,file,local,vector,NA,,48.383,NA,NA
doy_plot_2300,stem,8aced144c6f8a860,051ab7a2ac7d392c,0abc824dc9ccaad9,1961417003,,2024-08-01T21:25:38Z,8c3394f74a1e87b2,2131218,file,local,vector,NA,,59.722,NA,NA
doy_plot_2350,stem,3f592ae8d7a4c46a,fc171e14169ed487,06b40615d9ee4c8d,1030896686,,2024-07-31T19:42:37Z,36cd8b4741f80cf4,2150366,file,local,vector,NA,,52.208,NA,NA
doy_plot_2400,stem,11b606af7999bce0,b1743478e81f4e82,9bc95cc233bad95b,1097414133,,2024-07-31T19:02:23Z,562e05f92a552814,2191299,file,local,vector,NA,,44.682,NA,NA
doy_plot_2450,stem,9eb52e0308847eb0,476984605520dd07,5c87579d615fe81c,-1823677722,,2024-07-31T19:30:44Z,893bb4f8199a9448,2218022,file,local,vector,NA,,44.963,NA,NA
doy_plot_250,stem,5fa6de7d46274ad7,988cdbae3646f9eb,14af175c155281a7,-1222769431,,2024-08-01T22:01:01Z,b9c7a3d028ca0892,1865690,file,local,vector,NA,,52.116,NA,NA
doy_plot_2500,stem,2daf630ff4fdee52,de1e95e30847d50e,6c06498ffd778e1f,-592621218,,2024-08-01T20:56:47Z,58d15d151d5dbc66,2248719,file,local,vector,NA,,56.762,NA,NA
doy_plot_300,stem,d6b8adccd10145b5,9ce0b004662cb4bb,611c9af08586ed88,360852932,,2024-07-31T19:58:08Z,56e30b22e0ae4c9f,1842899,file,local,vector,NA,,44.413,NA,NA
doy_plot_350,stem,55d0c13f5894c1c0,522271b3c2963f5a,b00f46444cbcdd7e,-1997175868,,2024-07-31T19:07:57Z,76f80ac999618cd1,1853238,file,local,vector,NA,,44.362,NA,NA
doy_plot_400,stem,a1ae70bd16becb54,ef996cfeb0330459,6e91216ed74d123e,922649791,,2024-08-01T21:50:15Z,72b01334d5746009,1851673,file,local,vector,NA,,46.017,NA,NA
doy_plot_450,stem,7c0a58a78bdc25b4,2be66509ed32a34f,0a51c785b48a32af,-1959687329,,2024-07-31T18:58:41Z,2b70230d25a4799b,1850101,file,local,vector,NA,,51.859,NA,NA
doy_plot_50,stem,7be394c08436a717,c3ab03a974bd83e3,5e5c2fb4669fbe37,1586221231,,2024-08-01T20:40:17Z,9ff565e51492206a,1616567,file,local,vector,NA,,57.625,NA,NA
doy_plot_500,stem,fdbe131c5b49b7a7,5514ceea256bae07,269cdfc4b6abc0f7,542744957,,2024-08-01T22:07:45Z,65c421e5bcef746b,1860432,file,local,vector,NA,,50.047,NA,NA
doy_plot_550,stem,7b224742595ed4a1,318ec14d0d53ee25,967a40824c03d83c,1540947936,,2024-07-31T18:32:33Z,247debfdeaa3827e,1870438,file,local,vector,NA,,51.612,NA,NA
doy_plot_600,stem,c3018c3e075786c3,c9d2af1bd3d064e5,1fb8c48e7d23d824,-1275493824,,2024-07-31T20:10:04Z,f3198a96f8921db5,1877881,file,local,vector,NA,,51.617,NA,NA
doy_plot_650,stem,64bdd758ad46b6cd,40ad3bbb3ad52d81,d1770da5666a02b8,-7852989,,2024-07-31T19:46:44Z,0838b1d45f5f2c77,1874230,file,local,vector,NA,,44.291,NA,NA
doy_plot_700,stem,3ee6d1781af352b3,41ba06d71a5e16a0,7c08c35d6e426e41,-2013804175,,2024-07-31T19:27:01Z,e9bbd99f9b30fd93,1864098,file,local,vector,NA,,51.527,NA,NA
doy_plot_750,stem,788b8e796f363e3b,75919f0cbec7b19f,8f12e1e6715a769f,-409174821,,2024-08-01T21:05:04Z,1f77b0e56f5f5b94,1856155,file,local,vector,NA,,55.48,NA,NA
doy_plot_800,stem,f96902b8f38c9da0,c63390b783654601,9f9f8f3d0c4d2075,-574020997,,2024-07-31T18:43:27Z,b114cab6ab1e0f54,1883652,file,local,vector,NA,,51.751,NA,NA
doy_plot_850,stem,ff95eedd02b957bd,37d65878845d1865,f3eec6a0a65843a8,-614929686,,2024-08-01T21:57:17Z,e555a26c8baae29e,1893152,file,local,vector,NA,,47.262,NA,NA
doy_plot_900,stem,9293cfeefb3639c3,ea71741ee4b232b5,000f40d15a38c0eb,1173406646,,2024-08-01T21:13:18Z,455d7d95606ee19e,1897518,file,local,vector,NA,,53.992,NA,NA
doy_plot_950,stem,a939eb5c6dca88d4,88c268a3a3a50550,f0388b234c796419,1632439078,,2024-08-01T21:00:02Z,23644f934006b4a3,1904367,file,local,vector,NA,,56.905,NA,NA
doy_trend_100,stem,29e13b48ad4f6c20,672cca6e547e0973,e6c2807ed810cdf8,1457041362,,2024-08-01T20:44:51Z,8125515093be9d49,742038,format_custom&read=ZnVuY3Rpb24gKHBhdGgpIAp0ZXJyYTo6cmFzdChwYXRoKQ&write=ZnVuY3Rpb24gKG9iamVjdCwgcGF0aCkgCnsKICAgIHRlcnJhOjp3cml0ZVJhc3RlcihvYmplY3QsIHBhdGgsIGZpbGV0eXBlID0gU3lzLmdldGVudigiR0VPVEFSR0VUU19HREFMX1JBU1RFUl9EUklWRVIiKSwgCiAgICAgICAgb3ZlcndyaXRlID0gVFJVRSwgZ2RhbCA9IHN0cnNwbGl0KFN5cy5nZXRlbnYoIkdFT1RBUkdFVFNfR0RBTF9SQVNURVJfQ1JFQVRJT05fT1BUSU9OUyIsIAogICAgICAgICAgICB1bnNldCA9ICI7IiksICI7IilbWzFdXSkKfQ&marshal=ZnVuY3Rpb24gKG9iamVjdCkgCnRlcnJhOjp3cmFwKG9iamVjdCk&unmarshal=ZnVuY3Rpb24gKG9iamVjdCkgCnRlcnJhOjp1bndyYXAob2JqZWN0KQ&convert=&copy=&repository=,local,vector,NA,,382.233,NA,NA
