state,state_name,mean.350 - 50,mean.650 - 350,mean.1250 - 650,mean.1950 - 1250,mean.2500 - 1950,mean.2500 - 50
CT,Connecticut,-0.013610909692943096,0.17812597751617432,-0.623881995677948,-1.2247065305709839,-3.7878429889678955,-5.447824001312256
DE,Delaware,1.3497614860534668,0.8200281858444214,0.24797198176383972,-0.2731579840183258,-0.27597787976264954,1.8686258792877197
IA,Iowa,0.19523374736309052,-0.6197863817214966,-0.3680229187011719,0.06894243508577347,-0.19165097177028656,-0.9152841567993164
IL,Illinois,0.005819690879434347,-0.2714940905570984,-0.3076584041118622,0.10937799513339996,-0.17106789350509644,-0.635022759437561
IN,Indiana,0.11471810936927795,-0.15721656382083893,-0.12958486378192902,0.12673704326152802,-0.2352999746799469,-0.28064626455307007
KY,Kentucky,1.0254628658294678,0.06618046015501022,0.14326812326908112,0.005699309054762125,0.0037219112273305655,1.2443326711654663
MA,Massachusetts,0.4486241042613983,0.24145017564296722,-0.6774019598960876,-2.0750691890716553,-3.3822250366210938,-4.948716640472412
MD,Maryland,1.1323825120925903,0.5491372346878052,0.1037115752696991,-0.34269168972969055,-0.3479488492012024,1.098755121231079
ME,Maine,-0.07130575180053711,-0.5414088368415833,-1.6816353797912598,-3.111475706100464,-0.882628321647644,-3.1989314556121826
MI,Michigan,-0.0030553769320249557,-0.3714785575866699,-0.3652240037918091,-0.09851618856191635,-0.4592611491680145,-2.0796585083007812
MN,Minnesota,0.137494757771492,-0.9307461977005005,-0.28652554750442505,0.7560349702835083,0.4914289712905884,-0.24649269878864288
MO,Missouri,0.030178848654031754,-0.03859199583530426,-0.5936024188995361,0.04151642695069313,-0.20907150208950043,-0.7695706486701965
NH,New Hampshire,0.201217383146286,-0.20619747042655945,-1.3462327718734741,-3.4318525791168213,-3.0004329681396484,-5.641726493835449
NJ,New Jersey,1.5786786079406738,0.3177577257156372,-0.01945756934583187,-0.6799106597900391,-1.3055469989776611,-0.10847889631986618
NY,New York,-0.2946794331073761,-0.09574370086193085,-0.6997561454772949,-1.9238438606262207,-0.6150477528572083,-2.639941930770874
OH,Ohio,0.4652710258960724,-0.1863657534122467,-0.24166250228881836,-0.3250586986541748,-0.9167531132698059,-1.2045691013336182
PA,Pennsylvania,0.6380900144577026,-0.08314067870378494,-0.4186396300792694,-1.480257511138916,-1.380660891532898,-2.075354814529419
RI,Rhode Island,0.04049074277281761,0.4767116606235504,-0.5531889200210571,-1.0207769870758057,-3.655914545059204,-4.7126784324646
VA,Virginia,0.5578282475471497,0.3419763147830963,0.3682219386100769,-0.02615281380712986,-0.4131264388561249,0.83445805311203
VT,Vermont,0.026549402624368668,-0.34706905484199524,-1.253967046737671,-3.90596342086792,-1.0780049562454224,-4.138332843780518
WI,Wisconsin,0.3212721347808838,-0.6685486435890198,-0.33181729912757874,0.22529073059558868,0.6575301289558411,-0.5393733978271484
WV,West Virginia,0.911950409412384,0.13616280257701874,0.08573365956544876,-0.47090858221054077,-1.0088698863983154,-0.16701288521289825
