gam,term,k',edf,k-index,p-value
gam_650,"ti(x,y)",999,914.6173389738813,0.9810368917250861,0.065
gam_650,ti(year_scaled),19,18.996369182439878,0.5016937178931953,0
gam_650,"ti(year_scaled,x,y)",3781,1072.8371608457123,0.09445722064524155,0
